屏幕坐标        	错失率     	接受率     	错失数     	接受数     	总数      	接受预测点坐标	
(50.0,50.0)    	0.0     	0.0     	0       	0       	30.0    		
(409.0,50.0)   	0.0     	0.0     	0       	0       	30.0    		
(768.0,50.0)   	0.0     	0.36    	0       	10      	30.0    	,(856.9408979024845,-2.2193844933480023),(696.7944818780632,12.96241714830387),(856.9408979024845,-2.2193844933480023),(819.4693946021589,0.932556468812777),(856.9408979024845,-2.2193844933480023),(856.9408979024845,-2.2193844933480023),(849.6071898468576,137.08832448090322),(757.703073186844,6.654527038246329),(660.6610375439309,17.02839259383768),(856.9408979024845,-2.2193844933480023)	
(1127.0,50.0)  	0.0     	0.18    	0       	5       	30.0    	,(1137.0865635616456,83.90687786041747),(1200.3102036182868,-42.590951536783564),(1170.459052862682,132.77073729734127),(1200.3102036182868,-42.590951536783564),(1200.3102036182868,-42.590951536783564)	
(1486.0,50.0)  	0.0     	0.0     	0       	0       	30.0    		
(50.0,241.0)   	0.0     	0.0     	0       	0       	30.0    		
(409.0,241.0)  	0.0     	0.11    	0       	3       	30.0    	,(325.7408736062699,253.5314818761342),(433.2011773264944,380.78161752526205),(488.89351739409733,236.502024656024)	
(768.0,241.0)  	0.0     	0.46    	0       	13      	30.0    	,(777.4397197624542,140.43765488042436),(750.0992478945748,292.4992531370732),(830.6778264177588,289.81284613339017),(815.3902767416675,149.36785693195986),(841.5482738424823,220.44255850376783),(741.8139426414002,289.208118439185),(778.5137425564096,148.72152796547823),(663.3412498554156,293.1260052272942),(872.4496909390634,206.78287419406718),(842.2031030707351,235.58707923270538),(807.9357753592083,240.41984704673598),(750.0992478945748,292.4992531370732),(785.6591665373104,354.97239656608735)	
(1127.0,241.0) 	0.0     	0.32    	0       	9       	30.0    	,(1110.871900968911,366.01744332173155),(1110.871900968911,366.01744332173155),(1167.1582041330869,134.14777748396148),(1036.5709595093638,264.8685542747163),(1174.8257162742857,151.7302562538896),(1259.729620089862,283.8070520327383),(1263.0837628793083,209.30163159401525),(1162.0430441145172,193.3540158206266),(1062.9377520779926,272.38248566205164)	
(1486.0,241.0) 	0.0     	0.04    	0       	1       	30.0    	,(1465.3046443926414,301.2314344994129)	
(50.0,432.0)   	0.0     	0.32    	0       	9       	30.0    	,(129.259298638443,542.206024859538),(73.12493156070894,543.2525945185281),(171.22338201129304,369.7702458598894),(117.3318383985856,501.28747902042096),(126.2837981561625,427.17927645449197),(117.3318383985856,501.28747902042096),(73.12493156070894,543.2525945185281),(-32.556435376576644,549.8455959084993),(192.39440630107703,420.5236847899731)	
(409.0,432.0)  	0.0     	0.11    	0       	3       	30.0    	,(516.6728220286825,469.54994007780033),(481.4261753548471,467.41324563399115),(442.86797011802605,559.4724869245424)	
(768.0,432.0)  	0.0     	0.25    	0       	7       	30.0    	,(657.9413523700756,361.4057276708228),(701.1199000921933,526.1537414190456),(780.5201457692531,536.2050330463308),(667.208887180487,342.7669391575571),(780.5201457692531,536.2050330463308),(798.2627874693917,331.96977175822735),(780.5201457692531,536.2050330463308)	
(1127.0,432.0) 	0.0     	0.21    	0       	6       	30.0    	,(1147.511439674909,363.3249366936385),(1251.6491178031697,470.49680933495466),(1114.2539332762567,365.2992601537352),(1114.0913209016883,364.9782872663393),(1251.6491178031697,470.49680933495466),(1195.0897938821488,396.2317874569244)	
(1486.0,432.0) 	0.0     	0.25    	0       	7       	30.0    	,(1465.3046443926414,301.2314344994129),(1521.9261738201617,404.839587199163),(1548.7914505106514,518.0279654212627),(1465.3046443926414,301.2314344994129),(1548.7914505106514,518.0279654212627),(1465.3046443926414,301.2314344994129),(1548.7914505106514,518.0279654212627)	
